article,ean,name,category,dealer_price_eur,status
49.68.01.46,8715839063554,2017 Christmas flyer sterling name imprint (50x),,,
47.15.07.00,8715839061291,2017 Desk calender,,,
49.68.01.40,8715839060713,2017 Leisure Catalog DE,,,
49.68.01.41,8715839060720,2017 Leisure Catalog EN,,,
49.68.01.42,8715839060737,2017 Leisure Catalog FR,,,
49.68.01.39,8715839060706,2017 Leisure Catalog NL,,,
47.17.00.00,8715839061857,2017 Poster BERG Buzzy Bloom,,,
47.17.01.00,8715839061864,2017 Poster BERG Buzzy John Deere,,,
47.17.02.00,8715839061871,2017 Poster BERG Buzzy Nitro,,,
47.17.03.00,8715839061888,2017 Poster BERG Buzzy Racing,,,
47.17.04.00,8715839061895,2017 Poster BERG Buzzy Yellow,,,
47.17.06.00,8715839061918,2017 Poster BERG Champion,,,
47.17.07.00,8715839061925,2017 Poster BERG InGround EazyFit,,,
47.17.05.00,8715839061901,2017 Poster BERG Street-X,,,
49.68.01.34,8715839060652,2017 Pricelist DE,,,
49.68.01.35,8715839060669,2017 Pricelist EN,,,
49.68.01.36,8715839060676,2017 Pricelist FR,,,
49.68.01.38,8715839060690,2017 Pricelist IR,,,
49.68.01.33,8715839060645,2017 Pricelist NL,,,
49.68.01.37,8715839060683,2017 Pricelist UK,,,
49.68.01.43,8715839061482,2017 Pricelist USA,,,
49.68.01.44,8715839061499,2017 Pricelist USA FR,,,
47.15.08.00,8715839061307,2017 Wall calender,,,
47.15.24.00,8715839061628,2017 Window sticker (20x20 cm),,,
47.15.25.00,8715839061635,2017 Window sticker (40x40 cm),,,
49.68.01.52,8715839063615,2018 Catalog DE (50x),,,
49.68.01.57,8715839063660,2018 Catalog DE with imprint (50x),,,
49.68.01.53,8715839063622,2018 Catalog EN (50x),,,
49.68.01.58,8715839063677,2018 Catalog EN with imprint (50x),,,
49.68.01.54,8715839063639,2018 Catalog FR (50x),,,
49.68.01.59,8715839063684,2018 Catalog FR with imprint (50x),,,
49.68.01.51,8715839063608,2018 Catalog NL,,,
49.68.01.56,8715839063653,2018 Catalog NL with imprint (50x),,,
49.68.01.55,8715839063646,2018 Catalog USA EN (50x),,,
49.68.01.67,8715839063769,2018 Leisure Catalog DE (50x),,,
49.68.01.68,8715839063776,2018 Leisure Catalog EN (50x),,,
49.68.01.69,8715839063783,2018 Leisure Catalog FR (50x),,,
