dir,ean,product_id,reference,name,images,note
8718469463244,8718469463244,918,10.09.08.02,Trampolina ogrodowa Interra 244 EXIT (szara),1,
8718469463732,8718469463732,953,11.08.14.01,Siatka zabezpieczająca Contour 427 EXIT,3,
trampolina-twist-183-zielono-szara,,956,12.91.06.01,Trampolina Twist 183 (zielono-szara),7,"no EAN, name used"
8718469466153,8718469466153,961,12.92.06.01,Trampolina EXIT za siatką zabezpieczającą i grą Twist 183 (6ft) (różowo-szara),3,
8715839054521,8715839054521,1008,51.15.00.25,Siedzenie do gokartów Case IH Berg,1,
4260286361301,4260286361301,1014,P552001,Pedalo Classic do równowagi i koordynacji!,4,
8718469460540,8718469460540,1019,11.40.40.00,Drabinka L do trampolin EXIT,2,
8718469464579,8718469464579,1035,11.25.14.01,Pokrowiec ochronny do trampoliny owalnej EXIT,3,
8718469460595,8718469460595,1042,11.31.10.01,Siatka dolna do trampolin 305 EXIT,2,
8715839058598,8715839058598,1051,07.12.00.00,Gokart na pedały BERG Duo Chopper,2,
8715839057744,8715839057744,1052,24.30.11.00,Gokart na pedały BERG Buzzy John Deere,2,
4260286360649,4260286360649,1057,P143224,pedalo® narty letnie 160 cm dla czterech osób,2,
4260286360663,4260286360663,1058,P143018,pedalo® narty letnie 160 cm dla czterech osób,4,
4260286360656,4260286360656,1059,P143016,pedalo® narty letnie 80 cm dla dwóch osób,2,
4260286360632,4260286360632,1060,P143222,pedalo® narty letnie 80 cm dla dwóch osób,2,
4260286362230,4260286362230,1066,P13003050,Pedalo® Spring Board 50,3,
4260286361387,4260286361387,1070,P653166,pedalo® krążek do ćwiczeń równowagi 32 cm,3,
4260286361349,4260286361349,1071,P653155,"pedalo® krążek, kołyska do ćwiczeń równowagi 22 cm",3,
8715839051766,8715839051766,1083,51.07.00.32,Zębatka z korbami i pedałami 140 36T,2,
puzzle-poduszkowe-gepetto,,1087,05.07.03.00,Puzzle poduszkowe Gepetto,1,"no EAN, name used"
3715839023367,3715839023367,1089,15.20.46.00,Oświetlenie Racing do gokartów Berg,1,
8715839010657,8715839010657,1091,18.27.10.00,Podnośnik do gokartów BERG  (bez podwozia),1,
8715839019551,8715839019551,1092,18.28.34.00,Ławeczka drewniana dla dwóch osób (bez podwozia),1,
